id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity
6606,14942,100,87.0,f,t,t,47.65444,-122.33629,1,1.0,1.0,1.0,99.0,30.0,1125.0,4.61,4.67,4.67,4.83,4.76,4.88,4.57,f,3,4,3,f,t,2,27,4976,-0.7,-1.98,-2.6799999999999997
9419,30559,100,97.0,t,t,t,47.55017,-122.31937,2,3.0,1.0,2.0,80.0,2.0,90.0,4.69,4.77,4.74,4.93,4.89,4.65,4.64,f,9,4,2,t,t,2,30,4871,-0.62,-1.56,-2.18
9531,31481,100,71.0,t,t,t,47.55495,-122.38663,4,1.0,2.0,3.0,185.0,5.0,1125.0,4.95,4.98,4.97,4.98,4.95,4.98,4.89,f,2,3,3,t,t,2,58,4867,-0.93,0.79,-0.14
9534,31481,100,71.0,t,t,t,47.55627,-122.38607,3,1.0,2.0,2.0,125.0,3.0,1125.0,4.99,4.98,4.98,5.0,4.98,4.95,4.94,f,2,3,3,t,t,2,55,4867,-0.92,0.25,-0.67
9596,14942,100,87.0,f,t,t,47.65608,-122.33602,4,1.0,1.0,4.0,130.0,30.0,200.0,4.56,4.55,4.5,4.8,4.66,4.91,4.56,f,3,4,3,t,t,2,29,4976,-0.83,-0.6,-1.43
9909,33360,100,100.0,t,t,t,47.56612,-122.37273,4,1.0,2.0,2.0,275.0,25.4,1125.0,4.8,4.88,4.88,4.93,4.94,4.83,4.82,t,11,5,3,t,t,2,50,4857,-0.92,-0.28,-1.2000000000000002
11012,14942,100,87.0,f,t,t,47.65405,-122.33744,8,2.0,3.0,3.0,310.0,30.0,120.0,4.79,4.82,4.61,4.78,4.72,4.86,4.74,f,3,4,3,f,t,2,40,4976,-0.86,-0.6,-1.46
25002,102684,100,100.0,t,t,t,47.67947,-122.37196,4,1.0,1.0,2.0,95.0,2.0,1125.0,4.92,4.92,4.92,4.97,4.98,4.9,4.9,t,1,5,3,t,t,2,41,4635,1.8,0.36,2.16
30712,107605,100,67.0,f,t,f,47.67843,-122.38207,3,1.0,1.0,1.0,67.0,30.0,60.0,4.25,4.31,3.57,4.76,4.75,4.73,4.34,f,2,3,3,t,t,2,21,4625,-0.86,1.11,0.2500000000000001
68508,340192,100,50.0,f,t,t,47.63815,-122.32344,4,1.0,2.0,2.0,165.0,7.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,3,3,t,t,2,49,4354,-1.12,1.11,-0.010000000000000009
116221,587302,0,0.0,t,t,t,47.65474,-122.35546,2,1.0,1.0,1.0,75.0,90.0,365.0,4.74,4.87,4.89,4.61,4.68,4.91,4.52,f,1,1,3,f,t,2,40,4228,-1.0,1.11,0.1100000000000001
119103,601600,100,100.0,t,t,t,47.65244,-122.35108,3,1.0,1.0,2.0,90.0,3.0,30.0,4.94,4.95,4.82,4.98,4.98,4.97,4.9,f,2,5,3,t,t,2,23,4224,0.57,0.79,1.3599999999999999
132120,378445,0,0.0,f,t,t,47.66938,-122.33516,4,1.0,1.0,1.0,75.0,30.0,30.0,4.68,4.84,4.66,4.96,4.84,4.96,4.75,f,1,1,3,t,t,2,14,4326,-0.73,1.11,0.3800000000000001
132160,558743,100,100.0,t,t,t,47.68205,-122.34275,6,1.0,2.0,3.0,177.0,3.1,1125.0,4.85,4.91,4.89,4.95,4.93,4.93,4.76,f,3,5,3,t,t,3,50,4237,0.09,-0.39,-0.30000000000000004
151545,306615,100,86.0,f,t,t,47.65062,-122.32008,6,1.5,3.0,3.0,299.0,75.0,270.0,4.93,4.78,4.67,5.0,5.0,4.93,4.8,f,3,4,3,t,f,2,53,4392,-1.0,1.11,0.1100000000000001
170273,804996,100,100.0,f,t,t,47.62734,-122.35793,6,2.5,3.0,5.0,404.0,2.3,1125.0,4.98,4.94,4.97,4.99,4.96,4.94,4.89,f,1,5,3,t,t,2,23,4170,-0.21,-0.28,-0.49
210316,2438665,0,100.0,f,t,t,47.70085,-122.367,2,4.0,1.0,1.0,60.0,30.0,365.0,4.76,4.69,4.85,4.95,4.87,4.56,4.74,t,4,1,2,t,t,2,47,3854,-0.81,1.11,0.30000000000000004
219532,1037115,100,75.0,f,t,t,47.65589,-122.36055,4,1.5,3.0,4.0,300.0,33.1,1107.6,4.65,4.75,4.7,4.89,4.86,4.69,4.6,f,1,4,3,t,f,2,45,4120,-0.82,1.11,0.29000000000000015
226536,209571,100,92.0,t,t,t,47.66133,-122.40088,2,1.0,1.0,1.0,83.0,1.0,21.0,4.81,4.74,4.79,4.95,4.95,4.88,4.82,f,2,5,2,t,t,3,27,4493,-0.09,1.11,1.02
226677,30559,100,97.0,t,t,t,47.55062,-122.31827,2,3.0,1.0,1.0,66.0,2.0,280.0,4.8,4.8,4.84,4.83,4.88,4.79,4.81,f,9,4,2,t,t,2,31,4871,-0.32,1.11,0.79
241016,956883,100,72.0,f,t,t,47.6411,-122.37446,4,1.0,3.0,3.0,324.0,3.6,28.0,4.77,4.85,4.77,4.95,4.92,4.73,4.72,f,3,4,3,t,t,2,23,4139,-0.61,1.11,0.5000000000000001
241032,956883,100,72.0,f,t,t,47.63626,-122.37083,2,1.0,1.0,1.0,116.0,4.7,365.0,4.74,4.81,4.79,4.89,4.88,4.6,4.79,f,3,4,3,t,t,2,24,4139,-0.01,1.11,1.1
254340,1336214,0,0.0,f,t,t,47.67632,-122.36019,2,1.0,1.0,1.0,95.0,30.0,180.0,4.91,4.92,4.97,4.99,4.98,4.88,4.92,f,1,1,3,f,t,2,34,4063,-0.58,1.11,0.5300000000000001
260613,1387754,100,100.0,t,t,t,47.687,-122.36697,2,1.0,1.0,1.0,150.0,3.0,1125.0,4.9,4.94,5.0,4.85,4.93,4.87,4.72,t,1,5,3,t,t,3,19,4049,-0.79,-1.77,-2.56
261912,558743,100,100.0,t,t,t,47.683232468231424,-122.3418099210691,4,1.0,2.0,2.0,198.0,3.1,1125.0,4.79,4.79,4.82,4.93,4.93,4.89,4.82,f,3,5,3,t,t,3,46,4237,-1.05,-0.81,-1.86
278830,1452570,100,86.0,f,t,t,47.6341,-122.37296,6,2.0,3.0,3.0,450.0,12.4,175.8,4.67,4.65,4.74,4.91,4.88,4.56,4.48,f,4,5,3,t,f,2,60,4029,-0.83,1.11,0.28000000000000014
284087,721070,100,100.0,t,t,t,47.6121,-122.33,6,1.0,2.0,3.0,168.0,3.0,1125.0,4.81,4.9,4.82,4.82,4.89,4.9,4.73,t,1,5,3,t,f,2,48,4191,-0.08,0.47,0.38999999999999996
303277,1204187,100,96.0,t,t,t,47.64424,-122.32397,2,1.0,2.0,2.0,150.0,30.0,1125.0,4.83,4.83,4.92,4.83,4.83,5.0,4.75,f,1,5,3,f,f,2,51,4095,-1.12,-0.71,-1.83
338091,1717589,94,22.0,f,t,t,47.61965,-122.32374,3,1.0,1.0,1.0,420.0,1.0,365.0,4.63,4.75,4.26,4.74,4.85,4.88,4.39,f,2,4,3,t,t,2,64,3959,-0.71,-2.09,-2.8
353110,1788284,100,100.0,t,t,t,47.58037,-122.39163,5,1.0,1.0,1.0,124.0,30.0,1084.4,4.77,4.81,4.82,4.93,4.85,4.93,4.76,t,1,5,3,f,t,3,51,3945,-0.85,0.15,-0.7
356248,306615,100,86.0,f,t,t,47.65047,-122.32022,2,1.0,2.0,2.0,179.0,75.0,365.0,4.89,4.96,4.89,5.0,5.0,4.92,4.62,f,3,4,3,f,f,2,50,4392,-0.99,1.11,0.1200000000000001
356608,1787819,91,97.0,f,t,t,47.61401,-122.32235,5,2.0,2.0,2.0,224.0,3.0,1125.0,4.83,4.89,4.87,4.93,4.91,4.82,4.76,t,3,5,3,t,t,2,36,3945,-0.49,-0.39,-0.88
365550,1025723,100,98.0,t,t,t,47.60002,-122.32742,2,1.0,1.0,1.0,112.0,3.0,21.0,4.74,4.82,4.87,4.92,4.94,4.62,4.7,f,2,5,2,t,t,2,39,4123,1.78,-0.17,1.61
368403,4186078,100,100.0,f,t,t,47.68528,-122.33125,16,3.0,6.0,7.0,457.0,3.7,1125.0,4.91,4.82,4.89,4.82,4.89,4.98,4.55,f,1,5,3,t,t,2,37,3674,-0.98,-0.49,-1.47
370361,1865986,100,92.0,t,t,t,47.68271,-122.35768,2,1.0,1.0,1.0,126.0,3.0,1125.0,4.95,4.92,4.91,4.97,4.98,4.95,4.9,f,2,5,2,t,t,2,35,3932,-0.1,-1.02,-1.12
387078,1121532,100,52.0,f,t,t,47.62361,-122.32577,2,1.0,1.0,1.0,157.0,30.0,365.0,4.78,4.79,4.85,4.79,4.84,4.93,4.64,f,11,4,3,t,t,2,30,4112,-0.43,-1.02,-1.45
392140,3313235,100,82.0,t,t,t,47.58576,-122.31581,2,1.0,1.0,1.0,81.0,3.0,7.0,4.89,4.87,4.82,4.9,4.93,4.77,4.78,f,2,4,2,t,f,2,19,3764,-0.0,0.47,0.47
392779,437055,100,89.0,t,t,f,47.57389,-122.31428,4,1.0,2.0,2.0,150.0,3.0,745.6,4.8,4.86,4.84,4.82,4.81,4.68,4.66,f,1,3,3,t,t,2,31,4291,-0.48,-0.6,-1.08
